21T_CCS-2_Day8_1-C11_11Jan18_Leopard_Infuse-qb,FTICR_ID,Sample_Type,CoreID,CoreNo,Site,Treatment,Suction,Pore Size Domain,SampleID,Water Soluble Organic Carbon (mg/L),NPOC (M/L),,,,,,,,,,,,,,
21T_CCS-2_Day6_5-S14-rr_400scans,5-S14,sample,S14,14,SR,Drought Incubation,50 kPa,6 - 20 µm,50-S14,35.9,2.99E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-S25_08Jan18_Leopard_Infuse-qb,5-S25,sample,S25,25,SR,Drought Incubation,50 kPa,6 - 20 µm,50-S25,12.1,1.01E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S1_08Jan18_Leopard_Infuse-qb,5-S1,sample,S1,1,SR,Field Moisture Incubation,50 kPa,6 - 20 µm,50-S1,24.9,2.07E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-S13_04Jan18_Leopard_Infuse-qb,5-S13,sample,S13,13,SR,Field Moisture Incubation,50 kPa,6 - 20 µm,50-S13,10.9,9.11E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-S15_11Jan18_Leopard_Infuse-qb,5-S15,sample,S15,15,SR,Field Moisture Incubation,50 kPa,6 - 20 µm,50-S15,15,1.25E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S19_08Jan18_Leopard_Infuse-qb,5-S19,sample,S19,19,SR,Field Moisture Incubation,50 kPa,6 - 20 µm,50-S19,25.9,2.16E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-S21_08Jan18_Leopard_Infuse-qb,5-S21,sample,S21,21,SR,Field Moisture Incubation,50 kPa,6 - 20 µm,50-S21,22.4,1.87E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-S2-rr_400scans,5-S2,sample,S2,2,SR,Saturation Incubation,50 kPa,6 - 20 µm,50-S2,,,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-S3_08Jan18_Leopard_Infuse-qb,5-S3,sample,S3,3,SR,Saturation Incubation,50 kPa,6 - 20 µm,50-S3,31,2.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-S18_08Jan18_Leopard_Infuse-qb,5-S18,sample,S18,18,SR,Saturation Incubation,50 kPa,6 - 20 µm,50-S18,23.7,1.98E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S24_08Jan18_Leopard_Infuse-qb,5-S24,as,S24,24,SR,Saturation Incubation,50 kPa,6 - 20 µm,50-S24,20,1.66E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-S9_08Jan18_Leopard_Infuse-qb,5-S9,sample,S9,9,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S9,6.5,5.41E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-S11_15Jan18_Leopard_Infuse-qb,5-S11,sample,S11,11,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S11,6.9,5.71E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S16-rr_400scans,5-S16,sample,S16,16,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S16,,,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-S17-b_04Jan18_Leopard_Infuse-qb,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-S17_04Jan18_Leopard_Infuse-qb,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-S17_08Jan18_Leopard_Infuse-qb,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S17_08Jan18_Leopard_Infuse-qb,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-S17_11Jan18_Leopard_Infuse-qb,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-S17-rr_400scans,5-S17,ref,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-S17-a_04Jan18_Leopard_Infuse-qb,5-S17,sample,S17,17,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S17,7.9,6.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-S23_11Jan18_Leopard_Infuse-qb,5-S23,sample,S23,23,SR,Time Zero Saturation,50 kPa,6 - 20 µm,50-S23,7.8,6.51E-04,,,,,,,,,,,,,,
21T_CCS-2_Day1_SRFAII_04Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day1_SRFAII-1_04Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day1_SRFAII-2_04Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day10_SRFAII_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day2_SRFAII_04Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day3_SRFAII_08Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day3_SRFAII-1_08Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day3_SRFAII-2_08Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day4_SRFAII_08Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day5_SRFAII_08Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day6_SRFAII_11Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day6_SRFAII-1_11Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day6_SRFAII-2_11Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day7_SRFAII_11Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day8_SRFAII_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day8_SRFAII-1_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day8_SRFAII-2_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day9_SRFAII_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day9_SRFAII-1_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day9_SRFAII-2_15Jan18_Leopard_Infuse-qb,SRFAII,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day2_SRFAII_end_04Jan18_Leopard_Infuse-qb,SRFAII_end,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day3-rr_SRFAII_08Jan18_Leopard_Infuse-qb,SRFA,SRFA,,,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,SRFA,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C11_11Jan18_Leopard_Infuse-qb,1-C11,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C16_11Jan18_Leopard_Infuse-qb,1-C16,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C20_11Jan18_Leopard_Infuse-qb,1-C20,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-C7_15Jan18_Leopard_Infuse-qb,1-C7,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-D15-rr_15Jan18_Leopard_Infuse-qb,1-D15,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S23_11Jan18_Leopard_Infuse-qb,1-S23,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-C16_11Jan18_Leopard_Infuse-qb,5-C16,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-C24_15Jan18_Leopard_Infuse-qb,5-C24,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-D10_15Jan18_Leopard_Infuse-qb,5-D10,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-D14_11Jan18_Leopard_Infuse-qb,5-D14,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-S11_11Jan18_Leopard_Infuse-qb,5-S11,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-S17_11Jan18_Leopard_Infuse-qb,5-S17,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
21T_CCS-2_Day10_5-C11_15Jan18_Leopard_Infuse-qb,5-C11,X_remove,,,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,X_remove,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
