Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01512	29.51835241	0.716830389	0.352179981	2.035409243	0.041809712	0.25804458	Transport and binding proteins	Cations and iron carrying compounds	ATPase-IB2_Cd	heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase	cadA	3.6.3.3	"This model describes the P-type ATPase primarily responsible for translocating cadmium ions (and other closely-related divalent heavy metals such as cobalt, mercury, lead and zinc) across biological membranes. Experimentally characterized members of the seed alignment include: SP|P37617 from E. coli, SP|Q10866 from Mycobacterium tuberculosis and SP|Q59998 from Synechocystis PCC6803. The cadmium P-type ATPases have been characterized as Type IB based on a phylogenetic analysis which combines the copper-translocating ATPases with the cadmium-translocating species [1]. Several sequences which have not been characterized experimentally fall just below trusted cutoff for both of these models (SP|Q9CCL1 from Mycobacterium leprae, GP|13816263 from Sulfolobus solfataricus, OMNI|NTL01CJ01098 from Campylobacter jejuni, OMNI|NTL01HS01687 from Halobacterium sp., GP|6899169 from Ureaplasma urealyticum and OMNI|HP1503 from Helicobacter pylori)."
TIGR02441	14.60744914	-0.648342238	0.318691428	-2.034388695	0.041912421	0.25804458	NA	NA	fa_ox_alpha_mit	"fatty acid oxidation complex, alpha subunit, mitochondrial"	NA	4.2.1.17 1.1.1.35	"Members represent alpha subunit of mitochondrial multifunctional fatty acid degradation enzyme complex. Subunit activities include: enoyl-CoA hydratase (EC 4.2.1.17) & 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35). Some characterization in human (SP:P40939), pig (SP:Q29554), and rat (SP:Q64428). The beta subunit has activity: acetyl-CoA C-acyltransferase (EC 2.3.1.16)."
TIGR02177	36.00448537	-0.520109886	0.25604791	-2.031299084	0.042224664	0.258569315	NA	NA	PorB_KorB	"2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family"	NA	NA	"A number of anaerobic and microaerophilic species lack pyruvate dehydrogenase and have instead a four subunit, oxygen-sensitive pyruvate oxidoreductase, with either ferredoxins or flavodoxins used as the acceptor. Several related four-subunit enzymes may exist in the same species. This model describes a subfamily of beta subunits, representing mostly pyruvate and 2-ketoisovalerate specific enzymes."
TIGR03311	35.76705192	-0.513705808	0.254833699	-2.015847233	0.043815953	0.266878985	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	Se_dep_XDH	selenium-dependent xanthine dehydrogenase	xdh	1.17.1.4	"Members of this protein resemble conventional xanthine dehydrogenase enzymes, which depend on molybdenum cofactor - molybdopterin bound to molybdate with two sulfur atoms as ligands. But all members of this family occur in species that contain markers for the biosynthesis of enzymes with a selenium-containing form of molybdenum cofactor. The member of this family from Enterococcus faecalis has been shown to act as a xanthine dehydrogenenase, and its activity if dependent on SelD (selenophosphate synthase), selenium, and molybdenum."
TIGR01361	21.52718231	0.555959913	0.276372492	2.011632598	0.044258681	0.267617564	Amino acid biosynthesis	Aromatic amino acid family	DAHP_synth_Bsub	3-deoxy-7-phosphoheptulonate synthase	aroF	2.5.1.54	"This model describes one of at least three types of phospho-2-dehydro-3-deoxyheptonate aldolase (DAHP synthase). This enzyme catalyzes the first of 7 steps in the biosynthesis of chorismate, that last common precursor of all three aromatic amino acids and of PABA, ubiquinone and menaquinone. Some members of this family, including an experimentally characterized member from Bacillus subtilis, are bifunctional, with a chorismate mutase domain N-terminal to this region. The member of this family from Synechocystis PCC 6803, CcmA, was shown to be essential for carboxysome formation. However, no other candidate for this enzyme is present in that species, chorismate biosynthesis does occur, other species having this protein lack carboxysomes but appear to make chorismate, and a requirement of CcmA for carboxysome formation does not prohibit a role in chorismate biosynthesis."
TIGR02916	7.855228377	-0.850178546	0.422926558	-2.010227381	0.044407129	0.267617564	Protein fate	Protein and peptide secretion and trafficking	PEP_his_kin	putative PEP-CTERM system histidine kinase	prsK	2.7.13.3	"Members of this protein family have a novel N-terminal domain, a single predicted membrane-spanning helix, and a predicted cystosolic histidine kinase domain. We designate this protein PrsK, and its companion DNA-binding response regulator protein (TIGR02915) PrsR. These predicted signal-transducing proteins appear to enable enhancer-dependent transcriptional activation. The prsK gene is often associated with exopolysaccharide biosynthesis genes."
TIGR00594	45.15109775	-0.367512968	0.183168262	-2.006422749	0.044811163	0.268631131	DNA metabolism	"DNA replication, recombination, and repair"	polc	DNA-directed DNA polymerase III (polc)	dnaE	2.7.7.7	"All proteins in this family for which functions are known are DNA polymerases. This family is based on the phylogenomic analysis of JA Eisen (1999, Ph.D. Thesis, Stanford University)."
TIGR00244	15.52362237	0.518774448	0.259231094	2.00120456	0.04537035	0.270559311	Regulatory functions	DNA interactions	TIGR00244	transcriptional regulator NrdR	nrdR	NA	"Members of this almost entirely bacterial family contain an ATP cone domain (PFAM:PF03477). There is never more than one member per genome. Common gene symbols given include nrdR, ybaD, ribX and ytcG. The member from Streptomyces coelicolor is found upstream in the operon of the class II oxygen-independent ribonucleotide reductase gene nrdJ and was shown to repress nrdJ expression. Many members of this family are found near genes for riboflavin biosynthesis in Gram-negative bacteria, suggesting a role in that pathway. However, a phylogenetic profiling study associates members of this family with the presence of a palindromic signal with consensus acaCwAtATaTwGtgt, termed the NrdR-box, an upstream element for most operons for ribonucleotide reductase of all three classes in bacterial genomes."
TIGR01966	16.20210728	0.532372397	0.268037802	1.986184009	0.047012896	0.27825161	Transcription	RNA processing	RNasePH	ribonuclease PH	rph	2.7.7.56	"This bacterial enzyme, ribonuclease PH, performs the final 3-trimming and modification of tRNA precursors. This model is restricted absolutely to bacteria. Related families outside the model include proteins described as probable exosome complex exonucleases (rRNA processing) and polyribonucleotide nucleotidyltransferases (mRNA degradation). The most divergent member within the family is RNase PH from Deinococcus radiodurans.
DR"
TIGR01131	54.85038402	-1.337831535	0.673983964	-1.984960484	0.047148868	0.27825161	Energy metabolism	ATP-proton motive force interconversion	ATP_synt_6_or_A	"ATP synthase subunit 6 (eukaryotes),also subunit A (prokaryotes)"	atpB	3.6.3.14	"Bacterial forms should be designated ATP synthase, F0 subunit A; eukaryotic (chloroplast and mitochondrial) forms should be designated ATP synthase, F0 subunit 6. The F1/F0 ATP synthase is a multisubunit, membrane associated enzyme found in bacteria and mitochondria and chloroplast. This enzyme is principally involved in the synthesis of ATP from ADP and inorganic phosphate by coupling the energy derived from the proton electrochemical gradient across the biological membrane. A brief description of this multisubunit enzyme complex: F1 and F0 represent two major clusters of subunits. Individual subunits in each of these clusters are named differently in prokaryotes and in organelles e.g., mitochondria and chloroplast. The bacterial equivalent of subunit 6 is named subunit A. It has been shown that proton is conducted though this subunit. Typically, deprotonation and reprotonation of the acidic amino acid side-chains are implicated in the process."
TIGR00531	13.60617076	-0.585024487	0.296730975	-1.971565273	0.048659255	0.283583775	Fatty acid and phospholipid metabolism	Biosynthesis	BCCP	"acetyl-CoA carboxylase, biotin carboxyl carrier protein"	accB	NA	"This model is designed to identify biotin carboxyl carrier protein as a peptide of acetyl-CoA carboxylase. Scoring below the trusted cutoff is a related protein encoded in a region associated with polyketide synthesis in the prokaryote Saccharopolyspora hirsuta, and a reported chloroplast-encoded biotin carboxyl carrier protein that may be highly derived from the last common ancestral sequence. Scoring below the noise cutoff are biotin carboxyl carrier domains of other enzymes such as pyruvate carboxylase. The gene name is accB or fabE."
TIGR00036	7.52766874	0.631601304	0.320654432	1.969725789	0.048869806	0.283583775	Amino acid biosynthesis	Aspartate family	dapB	4-hydroxy-tetrahydrodipicolinate reductase	dapB	1.17.1.8	NA
TIGR02436	24.61901271	-0.483373828	0.245730303	-1.967090836	0.04917274	0.283583775	NA	NA	TIGR02436	four helix bundle protein	NA	NA	"This family describes a protein of unknown function whose structure is a bundle of four long alpha helices. Some of the first members of this family were found encoded in the (atypically large) intervening sequence (IVS) of Leptospira 23S RNA, a region often present in the rRNA gene and removed during rRNA processing without re-ligation. However, this location is not conserved, and naming this protein as a 23S RNA protein is both confusing and inaccurate."
TIGR01416	19.41195189	0.436754	0.222375235	1.964040645	0.049525379	0.283583775	Energy metabolism	Electron transport	Rieske_proteo	"ubiquinol-cytochrome c reductase, iron-sulfur subunit"	petA	1.10.2.2	This model represents the Proteobacterial and mitochondrial type of the Rieske [2Fe-2S] iron-sulfur as found in ubiquinol-cytochrome c reductase. The model excludes the Rieske iron-sulfur protein as found in the cytochrome b6-f complex of the Cyanobacteria and chloroplasts. Most members of this family have a recognizable twin-arginine translocation (tat) signal sequence (DeltaPh-dependent translocation in chloroplast) for transport across the membrane with the 2Fe-2S group already bound. These signal sequences include a motif resembling RRxFLK before the transmembrane helix.
TIGR02540	18.38225343	0.649995138	0.330953359	1.964008285	0.049529131	0.283583775	NA	NA	gpx7	putative glutathione peroxidase Gpx7	NA	1.11.1.9	This model represents one of several families of known and probable glutathione peroxidases. This family is restricted to animals and designated GPX7.
TIGR01137	61.90070544	0.406191066	0.206948107	1.962767728	0.049673169	0.283583775	Amino acid biosynthesis	Serine family	cysta_beta	cystathionine beta-synthase	NA	4.2.1.22	Members of this family closely resemble cysteine synthase but contain an additional C-terminal CBS domain. The function of any bacterial member included in this family is proposed but not proven.
TIGR03404	32.8911758	-1.611213304	0.821327306	-1.961718906	0.049795219	0.283583775	NA	NA	bicupin_oxalic	"bicupin, oxalate decarboxylase family"	NA	Members of this protein family are defined as bicupins as they	Members of this protein family are defined as bicupins as they
TIGR02795	4.983848275	0.731832513	0.373538802	1.959187395	0.050090845	0.28384812	NA	NA	tol_pal_ybgF	tol-pal system protein YbgF	ygbF	NA	"Members of this protein family are the product of one of seven genes regularly clustered in operons to encode the proteins of the tol-pal system, which is critical for maintaining the integrity of the bacterial outer membrane. The gene for this periplasmic protein has been designated orf2 and ybgF. All members of the seed alignment were from unique tol-pal gene regions from completed bacterial genomes. The architecture of this protein is a signal sequence, a low-complexity region usually rich in Asn and Gln, a well-conserved region with tandem repeats that resemble the tetratricopeptide (TPR) repeat, involved in protein-protein interaction."
TIGR03181	27.21611003	-0.305414771	0.156070646	-1.956900788	0.050359134	0.28395571	Energy metabolism	Pyruvate dehydrogenase	PDH_E1_alph_x	"pyruvate dehydrogenase E1 component, alpha subunit"	pdhA	1.2.4.1	"Members of this protein family are the alpha subunit of the E1 component of pyruvate dehydrogenase (PDH). This model represents one branch of a larger family that E1-alpha proteins from 2-oxoisovalerate dehydrogenase, acetoin dehydrogenase, another PDH clade, etc."
TIGR02038	90.95036387	0.486430328	0.249516756	1.949489627	0.05123698	0.286407871	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	protease_degS	periplasmic serine pepetdase DegS	degS	3.4.21.-	"This family consists of the periplasmic serine protease DegS (HhoB), a shorter paralog of protease DO (HtrA, DegP) and DegQ (HhoA). It is found in E. coli and several other Proteobacteria of the gamma subdivision. It contains a trypsin domain and a single copy of PDZ domain (in contrast to DegP with two copies). A critical role of this DegS is to sense stress in the periplasm and partially degrade an inhibitor of sigma(E)."
TIGR01056	10.63055702	0.575866295	0.295503428	1.948763501	0.051323674	0.286407871	DNA metabolism	"DNA replication, recombination, and repair"	topB	"DNA topoisomerase III, bacteria and conjugative plasmid"	topB	5.99.1.2	"This model describes topoisomerase III from bacteria and its equivalents encoded on plasmids. The gene is designated topB if found in the bacterial chromosome, traE on conjugative plasmid RP4, etc. These enzymes are involved in the control of DNA topology. DNA topoisomerase III belongs to the type I topoisomerases, which are ATP-independent."
TIGR01818	281.2869991	-0.486538305	0.249905887	-1.946886131	0.051548388	0.286407871	Signal transduction	Two-component systems	ntrC	nitrogen regulation protein NR(I)	ntrC	NA	"This HMM represents NtrC, a DNA-binding response regulator that is phosphorylated by NtrB and interacts with sigma-54. NtrC usually controls the expression of glutamine synthase, GlnA, and may be called GlnL, GlnG, etc."
TIGR00358	14.08468609	0.564177058	0.293287657	1.923630414	0.054400926	0.300789586	Transcription	Degradation of RNA	3_prime_RNase	VacB and RNase II family 3-5 exoribonucleases	NA	3.1.13.1	"This HMM is defined to identify a pair of paralogous 3-prime exoribonucleases in E. coli, plus the set of proteins apparently orthologous to one or the other in other eubacteria. VacB was characterized originally as required for the expression of virulence genes, but is now recognized as the exoribonuclease RNase R (Rnr). Its paralog in E. coli and H. influenzae is designated exoribonuclease II (Rnb). Both are involved in the degradation of mRNA, and consequently have strong pleiotropic effects that may be difficult to disentangle. Both these proteins share domain-level similarity (RNB, S1) with a considerable number of other proteins, and full-length similarity scoring below the trusted cutoff to proteins associated with various phenotypes but uncertain biochemistry; it may be that these latter proteins are also 3-prime exoribonucleases."
TIGR01034	129.9327762	-0.233736542	0.121910926	-1.917273127	0.055203242	0.302182161	Central intermediary metabolism	Other	metK	S-adenosylmethionine synthetase	metK	2.5.1.6	Tandem isozymes of this S-adenosylmethionine synthetase in E. coli are designated MetK and MetX.
TIGR02063	20.85166312	0.53958341	0.281710027	1.915385885	0.05544331	0.302182161	Transcription	Degradation of RNA	RNase_R	ribonuclease R	rnr	3.1.-.-	"This family consists of an exoribonuclease, ribonuclease R, also called VacB. It is one of the eight exoribonucleases reported in E. coli and is broadly distributed throughout the bacteria. In E. coli, double mutants of this protein and polynucleotide phosphorylase are not viable. Scoring between trusted and noise cutoffs to the model are shorter, divergent forms from the Chlamydiae, and divergent forms from the Campylobacterales (including Helicobacter pylori) and Leptospira interrogans."
TIGR02637	7.105372588	0.808974941	0.422365445	1.915343573	0.055448702	0.302182161	NA	NA	RhaS	"rhamnose ABC transporter, rhamnose-binding protein"	rhaS	NA	This sugar-binding component of ABC transporter complexes is found in rhamnose catabolism operon contexts.
TIGR01812	60.46547906	-0.424777709	0.222486481	-1.909229304	0.056232518	0.304994464	Energy metabolism	Aerobic	sdhA_frdA_Gneg	"succinate dehydrogenase or fumarate reductase, flavoprotein subunitGram-negative/mitochondrial subgroup"	NA	"This HMM represents the succinate dehydrogenase flavoprotein subunit as found in Gram-negative bacteria, mitochondria, and some Archaea. Mitochondrial forms interact with ubiquinone and are designated EC 1.3.5.1, but can be degraded to 1.3.99.1. Some isozymes in E. coli and other species run primarily in the opposite direction and are designated fumarate reductase."	"This HMM represents the succinate dehydrogenase flavoprotein subunit as found in Gram-negative bacteria, mitochondria, and some Archaea. Mitochondrial forms interact with ubiquinone and are designated EC 1.3.5.1, but can be degraded to 1.3.99.1. Some isozymes in E. coli and other species run primarily in the opposite direction and are designated fumarate reductase."
TIGR01963	76.53999763	-0.399339265	0.209531441	-1.905867987	0.056667335	0.305256843	NA	NA	PHB_DH	3-hydroxybutyrate dehydrogenase	NA	NA	"This HMM represents a subfamily of the short chain dehydrogenases. Characterized members so far as 3-hydroxybutyrate dehydrogenases and are found in species that accumulate ester polmers called polyhydroxyalkanoic acids (PHAs) under certain conditions. Several members of the family are from species not known to accumulate PHAs, including Oceanobacillus iheyensis and Bacillus subtilis. However, polymer formation is not required for there be a role for 3-hydroxybutyrate dehydrogenase; it may be members of this family have the same function in those species."
TIGR00389	27.35867973	-0.534550709	0.280645776	-1.904716743	0.056816901	0.305256843	Protein synthesis	tRNA aminoacylation	glyS_dimeric	"glycyl-tRNA synthetase, dimeric type"	glyS	6.1.1.14	"This HMM describes a glycyl-tRNA synthetase distinct from the two alpha and two beta chains of the tetrameric E. coli glycyl-tRNA synthetase. This enzyme is a homodimeric class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes His, Ser, Pro, and this set of glycyl-tRNA synthetases."
TIGR02041	10.73792613	-0.582699458	0.306935532	-1.898442498	0.057637816	0.308213485	Central intermediary metabolism	Sulfur metabolism	CysI	"sulfite reductase (NADPH) hemoprotein, beta-component"	cysI	1.8.1.2	"Sulfite reductase (NADPH) catalyzes a six electron reduction of sulfite to sulfide in prokaryotic organisms. It is a complex oligomeric enzyme composed of two different peptides with a subunit composition of alpha(8)-beta(4) [1]. The alpha component, encoded by cysJ, is a flavoprotein containing both FMN and FAD, while the beta component, encoded by cysI, is a siroheme, iron-sulfur protein [1]. In Salmonella typhimurium and Escherichia coli, both the alpha and beta subunits of sulfite reductase are located in a unidirectional gene cluster along with phosphoadenosine phosphosulfate reductase, which catalyzes a two step reduction of PAPS to give free sulfite [2]. In cyanobacteria and plant species, sulfite reductase ferredoxin (EC 1.8.7.1) catalyzes the reduction of sulfite to sulfide [3]."
TIGR01369	81.22190289	-0.377401622	0.199204656	-1.894542179	0.058153081	0.30837771	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	CPSaseII_lrg	"carbamoyl-phosphate synthase, large subunit"	carB	6.3.5.5; EXCEPTION; SP|P31327; EC 6.3.4.16; Homo sapiens	"Carbamoyl-phosphate synthase (CPSase) catalyzes the first committed step in pyrimidine, arginine, and urea biosynthesis. In general, it is a glutamine-dependent enzyme, EC 6.3.5.5, termed CPSase II in eukaryotes. An exception is the mammalian mitochondrial urea-cycle form, CPSase I, in which the glutamine amidotransferase domain active site Cys on the small subunit has been lost, and the enzyme is ammonia-dependent. In both CPSase I and the closely related, glutamine-dependent CPSase III (allosterically activated by acetyl-glutamate) demonstrated in some other vertebrates, the small and large chain regions are fused in a single polypeptide chain. This HMM represents the large chain of glutamine-hydrolysing carbamoyl-phosphate synthases, or the corresponding regions of larger, multifunctional proteins, as found in all domains of life, and CPSase I forms are considered exceptions within the family. In several thermophilic species (Methanobacterium thermoautotrophicum, Methanococcus jannaschii, Aquifex aeolicus), the large subunit appears split, at different points, into two separate genes."
TIGR02155	10.134471	0.793931476	0.419157402	1.894112978	0.058210015	0.30837771	Energy metabolism	Other	PA_CoA_ligase	phenylacetate-CoA ligase	paaF	6.2.1.30	"Phenylacetate-CoA ligase (PA-CoA ligase) catalyzes the first step in aromatic catabolism of phenylacetic acid (PA) into phenylacetyl-CoA (PA-CoA) [1]. Often located in a conserved gene cluster with enzymes involved in phenylacetic acid activation (paaG/H/I/J), phenylacetate-CoA ligase has been found among the proteobacteria as well as in gram positive prokaryotes [2]. In the B-subclass proteobacterium Azoarcus evansii, phenylacetate-CoA ligase has been shown to be induced under aerobic and anaerobic growth conditions. It remains unclear however, whether this induction is due to the same enzyme or to another isoenzyme restricted to specific anaerobic growth conditions [3]."
TIGR02819	22.20957584	-0.910190556	0.48151176	-1.890276899	0.058720937	0.309644199	Central intermediary metabolism	One-carbon metabolism	fdhA_non_GSH	"formaldehyde dehydrogenase, glutathione-independent"	fdhA	1.2.1.46	"Members of this family represent a distinct clade within the larger family of zinc-dependent dehydrogenases of medium chain alcohols, a family that also includes the so-called glutathione-dependent formaldehyde dehydrogenase. Members of this protein family have a tightly bound NAD that can act as a true cofactor, rather than a cosubstrate in dehydrogenase reactions, in dismutase reactions for some aldehydes. The name given to this family, however, is"
TIGR02965	9.356688155	-0.777860845	0.412682608	-1.884888846	0.059444846	0.312016958	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	xanthine_xdhB	"xanthine dehydrogenase, molybdopterin binding subunit"	xdhB	1.17.1.4	"Members of the protein family are the molybdopterin-containing large subunit (or, in, eukaryotes, the molybdopterin-binding domain) of xanthine dehydrogenase, and enzyme that reduces the purine pool by catabolizing xanthine to urate. This model is based primarily on bacterial sequences; it does not manage to include all eukaryotic xanthine dehydrogenases and thereby discriminate them from the closely related enzyme aldehyde dehydrogenase."
TIGR00741	14.95211496	0.906562563	0.482329239	1.879551331	0.060169252	0.314370539	Protein synthesis	Translation factors	yfiA	ribosomal subunit interface protein	raiA	NA	"This model includes a small protein encoded by one of two genes, both downstream of the gene rpoN for sigma 54, whose deletion leads to increased expression from sigma 54-dependent promoters. It also includes the N-terminal half of a light-repressed protein LtrA of Synechococcus PCC 7002 and the N-terminal region (after removal of the transit peptide) of a larger plastid-specific ribosomal protein of spinach. The member of this family from E. coli is now recognized as a protein at the interace between ribosomal large and small subunits, with about 1/3 as many copies per cell as the number of ribosomes."
TIGR02790	7.641341224	-0.805821653	0.429581935	-1.875827608	0.060678956	0.315585984	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikC	"nickel ABC transporter, permease subunit NikC"	nikC	3.6.3.24	This family consists of the NikC family of nickel ABC transporter permeases. Operons that contain this protein also contain a homologous permease subunit NikB. Nickel is used in cells as part of urease or certain hydrogenases or superoxide dismutases.
TIGR00247	8.419924973	0.59806186	0.319195125	1.873655997	0.060977855	0.315698983	Hypothetical proteins	Conserved	TIGR00247	"conserved hypothetical protein, YceG family"	NA	NA	"This uncharacterized protein family, found in three of four microbial genomes, virtually always once per genome, includes YceG from Escherichia coli. This protein is encoded next to PabC, 4-amino-4-deoxychorismate lyase, in E. coli and numerous other proteobacteria, but that proximity is not conserved in other lineages. Numerous members of this family have been misannotated as aminodeoxychorismate lyase, apparently because of promiximty to PabC."
TIGR03710	49.22165125	-0.445192162	0.239165347	-1.861440914	0.062681937	0.323053062	NA	NA	OAFO_sf	"2-oxoacid:acceptor oxidoreductase, alpha subunit"	NA	NA	"This family of proteins contains a C-terminal thiamine diphosphate (TPP) binding domain typical of flavodoxin/ferredoxin oxidoreductases (PF01855) as well as an N-terminal domain similar to the gamma subunit of the same group of oxidoreductases (PF01558). This pair of genes is not consistantly observed in proximity to any electron acceptor genes, but is found next to putative ferredoxins or ferredoxin-domain proteins in Azoarcus sp. EbN1, Bradyrhizobium japonicum USDA 110, Frankia sp. CcI3, Rhodoferax ferrireducens DSM 15236, Rhodopseudomonas palustris BisB5, Os, Sphingomonas wittichii RW1 and Streptomyces clavuligerus. The phylogenetic distribution of this family encompasses archaea, a number of deeply-branching bacterial clades and only a small number of firmicutes and proteobacteria.  The enzyme from Sulfolobus has been characterized with respect to its substrate specificity [1] which is described as wide, encompassing various 2-oxoacids such as 2-oxoglutarate, 2-oxobutyrate and pyruvate. The genes for this enzyme in Prevotella intermedia 17, Persephonella marina EX-H1 and Picrophilus torridus DSM 9790 are in close proximity to a variety of TCA cycle genes."
TIGR01144	7.406029547	-0.776666229	0.417958868	-1.858236034	0.063135503	0.323924945	Energy metabolism	ATP-proton motive force interconversion	ATP_synt_b	"ATP synthase, F0 subunit b"	atpF	3.6.3.14	"This model describes the F1/F0 ATP synthase b subunit in bacteria only. Scoring just below the trusted cutoff are the N-terminal domains of Mycobacterial b/delta fusion proteins and a subunit from an archaeon, Methanosarcina barkeri, in which the ATP synthase homolog differs in architecture and is not experimentally confirmed. This model helps resolve b from the related b subunit. Within the family is an example from a sodium-translocating rather than proton-translocating ATP synthase.
DR"
TIGR00465	69.34805711	0.300684149	0.162209835	1.853673974	0.063785817	0.325793928	Amino acid biosynthesis	Pyruvate family	ilvC	ketol-acid reductoisomerase	ilvC	1.1.1.86	This is
TIGR00440	36.99439114	0.322908467	0.174684436	1.848524544	0.064526497	0.327256194	Protein synthesis	tRNA aminoacylation	glnS	glutaminyl-tRNA synthetase	glnS	6.1.1.18	"This protein is a relatively rare aminoacyl-tRNA synthetase, found in the cytosolic compartment of eukaryotes, in E. coli and a number of other Gram-negative Bacteria, and in Deinococcus radiodurans. In contrast, the pathway to Gln-tRNA in mitochondria, Archaea, Gram-positive Bacteria, and a number of other lineages is by misacylation with Glu followed by transamidation to correct the aminoacylation to Gln. This enzyme is a class I tRNA synthetase (hit by the pfam HMM tRNA-synt_1c) and is quite closely related to glutamyl-tRNA synthetases."
TIGR01072	30.8071854	0.49739773	0.269199315	1.847693147	0.064646746	0.327256194	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	2.5.1.7	NA
TIGR03143	35.36854144	0.36278085	0.196748323	1.843882809	0.065200221	0.328597574	NA	NA	AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	NA	1.6.4.-	This family of thioredoxin reductase homologs is found adjacent to alkylhydroperoxide reductase C subunit predominantly in cases where there is only one C subunit in the genome and that genome is lacking the F subunit partner (also a thioredcxin reductase homolog) that is usually found (TIGR03140).
TIGR01579	26.15533539	-0.385179424	0.209475997	-1.838775942	0.065948148	0.330902823	Protein synthesis	tRNA and rRNA base modification	MiaB-like-C	MiaB-like tRNA modifying enzyme	NA	NA	"This clade of sequences is closely related to MiaB, a modifier of isopentenylated adenosine-37 of certain eukaryotic and bacterial tRNAs (see TIGR01574 [1,2,3]). Sequence alignments suggest that this equivalog performs the same chemical transformation as MiaB, perhaps on a different (or differently modified) tRNA base substrate. This clade is a member of a subfamily (TIGR00089) and spans low GC Gram positive bacteria, alpha"
TIGR02418	11.44790784	-0.506962221	0.276570216	-1.833032599	0.066797723	0.333695644	Energy metabolism	Fermentation	acolac_catab	"acetolactate synthase, catabolic"	alsS	2.2.1.6	"Acetolactate synthase (EC 2.2.1.6) combines two molecules of pyruvate to yield 2-acetolactate with the release of CO2. This reaction may be involved in either valine biosynthesis (biosynthetic) or conversion of pyruvate to acetoin and possibly to 2,3-butanediol (catabolic). The biosynthetic type, described by TIGR00118, is also capable of forming"
TIGR02772	38.97220029	-0.475215538	0.259722606	-1.82970418	0.067294186	0.33392349	DNA metabolism	"DNA replication, recombination, and repair"	Ku_bact	"Ku protein, prokaryotic"	NA	NA	"Members of this protein family are Ku proteins of non-homologous end joining (NHEJ) DNA repair in bacteria and in at least one member of the archaea (Archaeoglobus fulgidus). Most members are encoded by a gene adjacent to the gene for the DNA ligase that completes the repair. The NHEJ system is broadly but rather sparsely distributed, being present in about one fifth of the first 250 completed prokarytotic genomes. A few species (e.g. Archaeoglobus fulgidus and Bradyrhizobium japonicum) have multiple copies that appear to represent recent paralogous family expansion."
TIGR02634	27.9584809	0.655369271	0.358731422	1.826907907	0.067713617	0.33392349	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	xylF	"D-xylose ABC transporter, substrate-binding protein"	xylF	NA	Members of this family are periplasmic (when in Gram-negative bacteria) binding proteins for D-xylose import by a high-affinity ATP-binding cassette (ABC) transporter.
TIGR00132	19.21455983	-0.404417447	0.221374617	-1.826846514	0.06772285	0.33392349	Protein synthesis	tRNA aminoacylation	gatA	"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit"	gatA	6.3.5.-	"In many species, Gln--tRNA ligase is missing. tRNA(Gln) is misacylated with Glu after which a heterotrimeric amidotransferase converts Glu to Gln. This HMM represents the amidase chain of that heterotrimer, encoded by the gatA gene. In the Archaea, Asn--tRNA ligase is also missing. This amidase subunit may also function in the conversion of Asp-tRNA(Asn) to Asn-tRNA(Asn), presumably with a different recognition unit to replace gatB. Both Methanococcus jannaschii and Methanobacterium thermoautotrophicum have both authentic gatB and a gatB-related gene, but only one gene like gatA. It has been shown that gatA can be expressed only when gatC is also expressed. In most species expressing the amidotransferase, the gatC ortholog is about 90 residues in length, but in Mycoplasma genitalium and Mycoplasma pneumoniae the gatC equivalent is as the C-terminal domain of a much longer protein. Not surprisingly, the Mycoplasmas also represent the most atypical lineage of gatA orthology. This orthology group is more narrowly defined here than in Proc Natl Acad Aci USA 94, 11819-11826 (1997). In particular, a Rhodococcus homolog found in association with nitrile hydratase genes and described as an enantiomer-selective amidase active on several 2-aryl propionamides, is excluded here. It is likely, however, that the amidase subunit GatA is not exclusively a part of the Glu-tRNA(Gln) amidotransferase heterotrimer and restricted to that function in all species."
TIGR03126	13.9954668	-0.859262992	0.471984383	-1.820532678	0.068677925	0.337173087	NA	NA	one_C_fae	formaldehyde-activating enzyme	fae	NA	"This family consists of formaldehyde-activating enzyme, or the corresponding domain of longer, bifunctional proteins. It links formaldehyde to the C1 carrier tetrahydromethanopterin (H4MPT), an analog of tetrahydrofolate, and is common among species with H4MPT. The ribulose monophosphate (RuMP) pathway, which removes the toxic metabolite formaldehyde by assimilation, runs in the opposite direction in some species to produce ribulose 5-phosphate for nucleotide biosynthesis, leaving formaldehyde as an additional metabolite. In these species, formaldehyde activating enzyme may occur as a fusion protein with D-arabino 3-hexulose 6-phosphate formaldehyde lyase from the RuMP pathway."
